assembly,declaring_type,property,getter_rid,getter_rva,setter_rid,setter_rva,feature_tags
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,Status,1018,0x2BBF84,1019,0x2BBFE0,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,QuestName,1020,0x2BC044,1021,0x2BC08C,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,IsSelected,1022,0x2BC0F0,1023,0x2BC14C,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,Color,1024,0x2BC1A0,1025,0x2BC1E8,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,EStatus,1026,0x2BC244,1027,0x2BC28C,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.QuestInfo,IsLeader,1028,0x2BC3FC,1029,0x2BC414,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.Request,x,1040,0x2BC5F0,1041,0x2BC604,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.Request,y,1042,0x2BC618,1043,0x2BC62C,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.TwoCaptResponseStatus,status,1045,0x2BC688,1046,0x2BC69C,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.TwoCaptResponseStatus,request,1047,0x2BC6B0,1048,0x2BC6C4,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.UserInfoDetail,Email,1050,0x2BC6D8,1051,0x2BC6EC,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.UserInfoDetail,UserName,1052,0x2BC700,1053,0x2BC714,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.UserInfoDetail,Package,1054,0x2BC728,1055,0x2BC73C,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.UserInfoDetail,RemainDay,1056,0x2BC750,1057,0x2BC764,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.UserInfoDetail,RegistrationDate,1058,0x2BC778,1059,0x2BC78C,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.UserInfoDetail,CountryId,1060,0x2BC7A0,1061,0x2BC7B4,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.UserInfoDetail,CountryName,1062,0x2BC7C8,1063,0x2BC7DC,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.UserInfoDetail,ProjectId,1064,0x2BC7F0,1065,0x2BC804,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.UserInfoDetail,ProjectName,1066,0x2BC818,1067,0x2BC82C,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.UserInfoDetail,UpdateXmlUrl,1068,0x2BC840,1069,0x2BC854,
KAutoHelper.dll,KAutoHelper.NoxMultiIni,pid,23,0x2CD4,24,0x2CDC,
KAutoHelper.dll,KAutoHelper.NoxMultiIni,vmpid,25,0x2CE5,26,0x2CED,
KAutoHelper.dll,KAutoHelper.NoxMultiIni,Ports,27,0x2CF6,28,0x2CFD,
KAutoHelper.dll,KAutoHelper.Port,name,162,0x5840,163,0x586E,
KAutoHelper.dll,KAutoHelper.Port,port_number,164,0x5871,165,0x5879,
KAutoHelper.dll,KAutoHelper.Port,process_name,166,0x5882,167,0x588A,
KAutoHelper.dll,KAutoHelper.Port,protocol,168,0x5893,169,0x589B,
KAutoHelper.dll,KAutoHelper.Port,pid,170,0x58A4,171,0x58AC,
