feature,path,width,height,sha256,semantic_hint
inventory_sell,"ItemSell_TrangVatPham/,m5.PNG",35,23,cf42ff1fd60ee7bd8b3ec3a949e40c16bf5f2caabe33baeef64f35fc6fcc0372,",m5"
inventory_sell,ItemSell_TrangVatPham/1 - Copy.PNG,37,19,21ed05baca2c723e3926e331c9b6ccbf6a7763fc44dc27696983f5a964bca609,1 - Copy
inventory_sell,ItemSell_TrangVatPham/1.PNG,37,19,21ed05baca2c723e3926e331c9b6ccbf6a7763fc44dc27696983f5a964bca609,1
inventory_sell,ItemSell_TrangVatPham/10 - Copy.PNG,36,18,4de7e12f0f57931893378fcf6d1284d742b7fc42bacf697ea8fbe9468ac68357,10 - Copy
inventory_sell,ItemSell_TrangVatPham/10.PNG,36,18,4de7e12f0f57931893378fcf6d1284d742b7fc42bacf697ea8fbe9468ac68357,10
inventory_sell,ItemSell_TrangVatPham/100 - Copy.PNG,36,22,1d135f6cf9704ddf2b0fc5c06275128df043294c964bba0cd1c91dc25887d245,100 - Copy
inventory_sell,ItemSell_TrangVatPham/100.PNG,36,22,1d135f6cf9704ddf2b0fc5c06275128df043294c964bba0cd1c91dc25887d245,100
inventory_sell,ItemSell_TrangVatPham/101 - Copy.PNG,37,19,f3be74d822c945d3a8a471de67dfefe0506cb6d6d69271bb810a1d6e58b9e7ff,101 - Copy
inventory_sell,ItemSell_TrangVatPham/101.PNG,37,19,f3be74d822c945d3a8a471de67dfefe0506cb6d6d69271bb810a1d6e58b9e7ff,101
inventory_sell,ItemSell_TrangVatPham/102 - Copy.PNG,36,22,7e7a154db05876723e30bf1b509bbb38922922658ae4d736691a50f65b0aad28,102 - Copy
inventory_sell,ItemSell_TrangVatPham/102.PNG,36,22,7e7a154db05876723e30bf1b509bbb38922922658ae4d736691a50f65b0aad28,102
inventory_sell,ItemSell_TrangVatPham/103 - Copy.PNG,35,22,9472932d71e8c308a009a5a2966017276a6bb356c42b540bc4cd5d5636d2cd9a,103 - Copy
inventory_sell,ItemSell_TrangVatPham/103.PNG,35,22,9472932d71e8c308a009a5a2966017276a6bb356c42b540bc4cd5d5636d2cd9a,103
inventory_sell,ItemSell_TrangVatPham/104 - Copy.PNG,40,16,ccf92464d735a3268068f688b34fd71ce1c5345d56018acee361eced305b63f4,104 - Copy
